canonical_item,normalized_units_total,raw_item_count,base_unit,category_guess,perishable_guess,size_examples
Holiday Vanilla Flavored Stars,3.00,1,each,Uncategorized,Non-perishable,8 oz
Honey Stinger Energy Gel,3.00,1,each,Uncategorized,Non-perishable,1.1 oz
Kodiak Protein Packed Honey,3.00,1,each,Uncategorized,Non-perishable,11 oz
Lacroix Vty,3.00,1,each,Uncategorized,Non-perishable,
Mild Cheddar Deli Style,3.00,1,oz,Dairy,Perishable,8 oz
Nature Valley Protein Oats,3.00,1,each,Uncategorized,Non-perishable,17 oz
Navel Orange Each,3.00,1,each,Uncategorized,Non-perishable,
Oats Honey Granola,3.00,1,each,Uncategorized,Non-perishable,11 oz
Sargento Balanced Breaks Monterey,3.00,1,oz,Dairy,Perishable,
Seasoned Croutons Baked And,3.00,1,each,Uncategorized,Non-perishable,5 oz
Skinnypop Gluten Free Popcorn,3.00,1,oz,Pantry,Non-perishable,8.0 oz
Small Shells,3.00,1,each,Uncategorized,Non-perishable,16 oz
Torre Oria,3.00,1,each,Uncategorized,Non-perishable,
Utz Honey Barbeque Potato,3.00,1,oz,Snacks,Non-perishable,7.75 oz
Utz Ripples Sour Cream,3.00,1,oz,Snacks,Non-perishable,7.75 oz
Whole Brussels Sprouts Bag,3.00,1,each,Uncategorized,Non-perishable,1 lb
Wonderful Pistachios No Shells,3.00,1,each,Uncategorized,Non-perishable,
Reddi Wip Whipped Topping,3.00,2,each,Uncategorized,Non-perishable,13 oz; 6.5 oz
Wonder Nation Toddler Cotton,3.00,2,each,Uncategorized,Non-perishable,
Parent S Choice Compartment,3.00,1,each,Uncategorized,Non-perishable,
Pillsbury Ready To Bake,3.00,3,each,Uncategorized,Non-perishable,16 oz; 30 oz
Sterilite Quart Clear Storage,3.00,1,each,Uncategorized,Non-perishable,
Vicks Vapo Shower Tablets,3.00,1,each,Uncategorized,Non-perishable,
All Purpose Enriched Flour,2.00,1,each,Uncategorized,Non-perishable,2 lb
Barilla Classic Non Gmo,2.00,1,each,Uncategorized,Non-perishable,16 oz
Bay Leaves,2.00,1,each,Uncategorized,Non-perishable,0.15 oz
Belgioioso Mozzarella Log Pre,2.00,1,oz,Dairy,Perishable,16 oz
Betty Crocker Snickerdoodle Cookies,2.00,1,each,Uncategorized,Non-perishable,17.9 oz
Bfgummybears,2.00,1,each,Uncategorized,Non-perishable,
